sentiment,stemmed_tokens
1,"['virginamerica', 'plu', 'you', 've', 'ad', 'commerci', 'to', 'the', 'experi', 'tacki']"
1,"['virginamerica', 'ye', 'nearli', 'everi', 'time', 'fli', 'vx', 'thi', 'ear', 'worm', 'won', 'go', 'away']"
1,"['virginamerica', 'well', 'didn', 'but', 'now', 'do']"
1,"['virginamerica', 'it', 'wa', 'amaz', 'and', 'arriv', 'an', 'hour', 'earli', 'you', 're', 'too', 'good', 'to', 'me']"
1,"['virginamerica', 'lt', 'pretti', 'graphic', 'so', 'much', 'better', 'than', 'minim', 'iconographi']"
1,"['virginamerica', 'thi', 'is', 'such', 'great', 'deal', 'alreadi', 'think', 'about', 'my', 'nd', 'trip', 'to', 'australia', 'amp', 'haven', 'even', 'gone', 'on', 'my', 'st', 'trip', 'yet']"
1,"['virginamerica', 'virginmedia', 'fli', 'your', 'fabul', 'seduct', 'sky', 'again', 'take', 'all', 'the', 'stress', 'away', 'from', 'travel', 'http', 'co', 'ahlxhhkiyn']"
1,"['virginamerica', 'thank']"
1,"['virginamerica', 'so', 'excit', 'for', 'my', 'first', 'cross', 'countri', 'flight', 'lax', 'to', 'mco', 've', 'heard', 'noth', 'but', 'great', 'thing', 'about', 'virgin', 'america', 'daystogo']"
1,"['fli', 'virginamerica']"
1,"['virginamerica', 'you', 'know', 'what', 'would', 'be', 'amazingli', 'awesom', 'bo', 'fll', 'pleas', 'want', 'to', 'fli', 'with', 'onli', 'you']"
1,"['virginamerica', 'love', 'thi', 'graphic', 'http', 'co', 'ut', 'grrwaaa']"
1,"['virginamerica', 'love', 'the', 'hipster', 'innov', 'you', 'are', 'feel', 'good', 'brand']"
1,"['virginamerica', 'thi', 'is', 'great', 'news', 'america', 'could', 'start', 'flight', 'to', 'hawaii', 'by', 'end', 'of', 'year', 'http', 'co', 'zy', 'fe', 'via', 'pacificbiznew']"
1,"['virginamerica', 'moodlight', 'is', 'the', 'onli', 'way', 'to', 'fli', 'best', 'experi', 'ever', 'cool', 'and', 'calm', 'moodlitmonday']"
1,"['virginamerica', 'freddieaward', 'done', 'and', 'done', 'best', 'airlin', 'around', 'hand', 'down']"
1,"['virginamerica', 'view', 'of', 'downtown', 'lo', 'angel', 'the', 'hollywood', 'sign', 'and', 'beyond', 'that', 'rain', 'in', 'the', 'mountain', 'http', 'co', 'dw', 'nf', 'ibtr']"
1,"['virginamerica', 'elevategold', 'for', 'good', 'reason', 'you', 'rock']"
1,"['virginamerica', 'wow', 'thi', 'just', 'blew', 'my', 'mind']"
1,"['virginamerica', 'ladygaga', 'carrieunderwood', 'juli', 'andrew', 'all', 'the', 'way', 'though', 'ladygaga', 'wa', 'veri', 'impress', 'no', 'to', 'carrieunderwood']"
1,"['virginamerica', 'you', 'know', 'it', 'need', 'it', 'on', 'my', 'spotifi', 'stat', 'guiltypleasur']"
1,"['virginamerica', 'ladygaga', 'carrieunderwood', 'ladi', 'gaga', 'she', 'is', 'amaz']"
1,"['virginamerica', 'ladygaga', 'carrieunderwood', 'love', 'all', 'three', 'but', 'you', 'realli', 'can', 'beat', 'the', 'classic']"
1,"['virginamerica', 'congrat', 'on', 'win', 'the', 'travelzoo', 'award', 'for', 'best', 'deal', 'from', 'an', 'airlin', 'us', 'http', 'co', 'kj', 'iljaebv']"
1,"['virginamerica', 'not', 'worri', 'it', 'been', 'great', 'ride', 'in', 'new', 'plane', 'with', 'great', 'crew', 'all', 'airlin', 'should', 'be', 'like', 'thi']"
1,"['virginamerica', 'awesom', 'flew', 'yall', 'sat', 'morn', 'ani', 'way', 'we', 'can', 'correct', 'my', 'bill']"
1,"['virginamerica', 've', 'appli', 'more', 'then', 'onc', 'to', 'be', 'member', 'of', 'the', 'inflight', 'crew', 'team', 'im', 'interest', 'flightattend', 'dreampath']"
1,"['virginamerica', 'amaz', 'custom', 'servic', 'again', 'raeann', 'in', 'sf', 'she', 'the', 'best', 'customerservic', 'virginamerica', 'fli']"
1,"['virginamerica', 'ha', 'getaway', 'deal', 'through', 'may', 'from', 'one', 'way', 'lot', 'of', 'cool', 'citi', 'http', 'co', 'tzzjhuibch', 'cheapflight', 'farecompar']"
1,"['virginamerica', 'ha', 'getaway', 'deal', 'through', 'may', 'from', 'one', 'way', 'lot', 'of', 'cool', 'citi', 'http', 'co', 'xi', 'yg', 'cheapflight', 'farecompar']"
1,"['virginamerica', 'have', 'great', 'week']"
